Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
TKI,0,0,0,0,1,0,0,0,0,5
TKIC,1,0,0,0,0,0,0,0,0,5
TN,0,0,0,0,0,1,0,0,0,1
TT,0,0,0,0,0,1,0,0,0,4
TU,0,0,1,0,0,1,1,0,0,5
UA,0,1,0,0,0,1,1,0,0,4
UAH,0,0,1,0,0,0,1,0,0,5
UF,0,0,0,1,0,0,0,0,0,5
UGN,0,0,0,0,0,1,0,0,0,5
UK,0,0,0,1,0,0,0,0,0,5
UM,0,0,0,1,0,0,0,0,0,5
UN,0,0,0,0,0,1,0,0,0,4
UNH,0,1,0,0,0,1,0,0,0,5
VC,0,0,0,0,0,1,0,0,0,4
VE,0,0,0,0,0,0,1,0,0,0
VET,0,0,0,0,0,0,1,0,0,4
VM,0,0,0,0,0,1,0,0,0,4
VS,0,0,0,0,0,1,0,0,0,4
WA,0,0,0,0,0,1,1,0,0,4
YA,0,1,0,0,0,1,1,0,0,0
YB,0,0,0,0,0,1,0,0,0,5
YH,0,0,0,0,0,1,1,0,0,4
YM,0,0,0,1,0,1,1,0,0,5
YMQ,0,0,0,0,0,0,1,0,0,4
YP,0,0,0,0,0,0,1,0,0,5
YS,0,1,1,0,0,1,0,0,0,3
YZ,0,0,1,0,0,0,1,0,0,5
ZA,0,1,1,1,0,1,1,0,0,0
ZAAG,0,0,0,0,0,0,1,0,0,5
ZAFP,0,0,0,0,0,0,1,0,0,4
ZAH,0,0,0,1,0,0,0,0,0,5
ZAM,0,0,0,0,0,1,1,0,0,4
ZB,0,1,0,0,0,1,0,0,0,5
ZC,0,1,0,0,0,1,0,0,0,5
ZD,0,0,0,1,0,0,1,0,0,3
ZDR,0,0,0,0,0,0,1,0,0,5
ZH,0,0,0,0,0,1,1,0,0,0
ZI,0,0,0,0,0,1,0,0,0,4
ZK,0,0,1,0,0,1,1,0,0,3
ZM,0,1,0,0,0,1,1,0,0,3
ZN,0,0,1,0,0,1,1,0,0,1
ZP,0,0,0,0,0,1,0,0,0,5
ZR,0,1,0,0,0,1,0,0,0,5
ZS,0,0,1,0,0,1,0,0,0,5
ZZ,0,0,0,0,0,1,0,0,0,4
